   51     85.  -.86904055E+02  -.87091319E+02 -.87091319E+02  0.18726E+00 0.00E+00 0.00E+00
   52     88.  -.86904364E+02  -.87097124E+02 -.87097124E+02  0.19276E+00 0.00E+00 0.00E+00
   53     93.  -.86904785E+02  -.87108627E+02 -.87108627E+02  0.20384E+00 0.00E+00 0.00E+00
   54     98.  -.86905147E+02  -.87119445E+02 -.87119445E+02  0.21430E+00 0.00E+00 0.00E+00
   55    100.  -.86905221E+02  -.87124423E+02 -.87124423E+02  0.21920E+00 0.00E+00 0.00E+00
   56     99.  -.86904925E+02  -.87122911E+02 -.87122911E+02  0.21799E+00 0.00E+00 0.00E+00
   57     98.  -.86904444E+02  -.87119817E+02 -.87119817E+02  0.21537E+00 0.00E+00 0.00E+00
   58     99.  -.86904139E+02  -.87122618E+02 -.87122618E+02  0.21848E+00 0.00E+00 0.00E+00
   59    106.  -.86904212E+02  -.87136099E+02 -.87136099E+02  0.23189E+00 0.00E+00 0.00E+00
   60    116.  -.86904560E+02  -.87159378E+02 -.87159378E+02  0.25482E+00 0.00E+00 0.00E+00
   61    128.  -.86904965E+02  -.87187220E+02 -.87187220E+02  0.28225E+00 0.00E+00 0.00E+00
   62    140.  -.86905305E+02  -.87213147E+02 -.87213147E+02  0.30784E+00 0.00E+00 0.00E+00
   63    148.  -.86905542E+02  -.87231463E+02 -.87231463E+02  0.32592E+00 0.00E+00 0.00E+00
   64    151.  -.86905604E+02  -.87238242E+02 -.87238242E+02  0.33264E+00 0.00E+00 0.00E+00
   65    149.  -.86905434E+02  -.87232430E+02 -.87232430E+02  0.32700E+00 0.00E+00 0.00E+00
   66    142.  -.86905105E+02  -.87216499E+02 -.87216499E+02  0.31139E+00 0.00E+00 0.00E+00
   67    132.  -.86904744E+02  -.87195511E+02 -.87195511E+02  0.29077E+00 0.00E+00 0.00E+00
   68    123.  -.86904502E+02  -.87174994E+02 -.87174994E+02  0.27049E+00 0.00E+00 0.00E+00
   69    116.  -.86904449E+02  -.87158771E+02 -.87158771E+02  0.25432E+00 0.00E+00 0.00E+00
   70    111.  -.86904555E+02  -.87147900E+02 -.87147900E+02  0.24335E+00 0.00E+00 0.00E+00
   71    108.  -.86904739E+02  -.87141002E+02 -.87141002E+02  0.23626E+00 0.00E+00 0.00E+00
   72    105.  -.86904863E+02  -.87135629E+02 -.87135629E+02  0.23077E+00 0.00E+00 0.00E+00
   73    103.  -.86904787E+02  -.87130401E+02 -.87130401E+02  0.22561E+00 0.00E+00 0.00E+00
   74    101.  -.86904545E+02  -.87126813E+02 -.87126813E+02  0.22227E+00 0.00E+00 0.00E+00
