     -2.81772552E-04,      7.31915023E-05,     -8.78446121E-04,
     -4.10136562E-04,      2.02775767E-04,      5.53899331E-04,
      8.88298863E-04,     -5.79319692E-04,      4.05520061E-04,
     -9.21930884E-04,     -6.83110815E-04,     -4.92180820E-04,
     -2.82294105E-04,     -1.44977243E-04,      6.77950267E-04,
      6.23396755E-04,      8.04133673E-04,     -7.35381824E-04,
      1.45507983E-03,      9.39008447E-05,      2.85430041E-04,
      1.50854076E-03,      7.64597494E-04,     -8.22750489E-04,
      7.44426626E-04,     -5.92348905E-04,      5.83002140E-04,
     -5.57606135E-04,     -8.22092937E-04,      5.43637349E-04,
      9.85177556E-04,     -3.48066958E-04,     -3.08891449E-04,
      5.54423628E-04,     -1.40062620E-03,      4.43648608E-04,
     -5.33967021E-05,     -3.00192002E-04,     -2.37273499E-04,
      3.62807465E-05,      1.46367647E-04,     -4.15152333E-04,
      2.50663628E-05,     -4.35063929E-05,     -1.04929734E-04,
      1.29192777E-04,     -6.11532868E-05,     -1.15391187E-05,
     -2.52679503E-04,      9.46427590E-05,     -2.46568230E-04,
      5.63498557E-05,     -8.31123008E-05,     -2.91721390E-04,
