     10.31308      9.68886      8.48186         0.000646      0.003851     -0.001663
     11.64904     10.37332      8.90809         0.004225      0.003282      0.002144
     10.20570     10.29510     11.53474        -0.002515      0.000960     -0.000902
     10.16078      8.84378     11.01774         0.003322      0.002934      0.002606
     12.14516      9.73435     10.85490        -0.000761      0.001613     -0.001004
     13.51901      9.37598     10.15401         0.000475     -0.000477     -0.002908
      8.33824      8.83717      9.58873        -0.001051      0.000675     -0.006616
      8.95202      7.45211      9.10585        -0.000470      0.002337      0.000222
      6.71150      9.93137     10.78755        -0.001149      0.001782     -0.002903
      7.85370     10.78823     10.12494        -0.001345     -0.001000     -0.000049
      9.92509     11.36303      9.53732        -0.002048      0.001691     -0.000892
      9.36958     12.64408     10.33241        -0.000983     -0.005838      0.002288
     10.78679     10.55125      8.43809        -0.002252     -0.002140      0.001229
     10.63188      9.41848     11.66733        -0.002349     -0.005087      0.002256
     12.82614     10.05548     10.19328         0.004640      0.000014     -0.000695
      9.19525      8.33716      9.42420         0.002455     -0.001577      0.002494
      7.19703     10.05210      9.95387        -0.003212     -0.005693     -0.000410
      9.33684     11.67304     10.31770         0.002371      0.002675      0.004801
